home_team_rank,away_team_rank,home_team_form,away_team_form,home_goal_diff,away_goal_diff,tournament_importance,is_neutral,h2h_points_diff,goal_diff,result
42.0,4.0,3,9,0.0,2.5,1,1,0,0,0
16.0,31.0,10,7,1.4,1.3333333333333333,1,1,0,0,0
5.0,20.0,12,9,2.25,1.25,1,0,0,0,0
32.0,7.0,11,9,1.4,3.6666666666666665,1,0,0,0,0
114.0,105.0,1,0,0.0,0.0,2,0,0,-1,2
70.0,56.0,5,7,-0.4,0.6,1,0,-3,1,1
38.0,53.0,8,0,0.4,-3.0,1,0,0,1,1
117.0,136.0,0,0,0.0,0.0,2,0,0,2,1
143.0,105.0,1,3,0.0,1.0,2,1,0,1,1
54.0,45.0,0,3,0.0,-1.0,1,0,0,1,1
16.0,12.0,8,7,0.6,1.0,1,1,0,-4,2
38.0,53.0,11,0,0.8,-2.0,1,0,3,0,0
114.0,143.0,1,4,-0.5,0.5,2,0,1,1,1
54.0,45.0,3,3,1.0,-1.0,1,0,3,0,0
93.0,21.0,3,10,-3.5,2.5,1,0,0,-1,2
127.0,63.0,1,2,0.0,-0.6,1,0,0,0,0
63.0,81.0,3,0,-0.4,0.0,1,1,0,-2,2
97.0,45.0,0,4,0.0,-0.4,1,0,0,-2,2
56.0,70.0,7,7,0.6,-0.2,1,0,0,0,0
97.0,45.0,0,7,-2.0,0.4,1,0,-3,0,0
26.0,30.0,4,9,0.25,1.6666666666666667,1,1,0,0,0
16.0,14.0,5,3,-0.4,-0.3333333333333333,1,1,0,-3,2
51.0,150.0,3,0,-0.5,0.0,1,0,0,-1,2
26.0,150.0,5,3,0.2,1.0,1,1,0,1,1
97.0,74.0,1,6,-1.0,1.0,1,0,0,1,1
51.0,30.0,3,10,-0.6666666666666666,1.25,1,0,0,0,0
30.0,150.0,11,3,1.0,0.0,1,1,0,1,1
97.0,74.0,4,6,-0.3333333333333333,0.3333333333333333,1,0,3,2,1
38.0,21.0,9,13,0.6,2.2,1,0,0,0,0
51.0,26.0,4,5,-0.5,-0.2,1,0,0,-1,2
125.0,56.0,10,5,0.8,-0.2,1,0,-3,0,0
83.0,32.0,3,11,-1.3333333333333333,1.4,1,0,0,0,0
5.0,28.0,13,1,1.8,-1.4,1,0,0,0,0
